id,time,vol
HCP96A,1514658598530,10.0
HCP96A,1514662197894,9.0
HCP96A,1514665798250,10.0
HCP96A,1514669399891,10.0
HCP96A,1514672998926,10.0
HCP96A,1514676599383,10.0
HCP96A,1514680198030,9.0
HCP96A,1514683805400,9.0
HCP96A,1514687405221,10.0
HCP96A,1514691005314,10.0
HCP96A,1514694596331,9.0
HCP96A,1514698200852,9.0
HCP96A,1514701799337,9.0
HCP96A,1514705403543,10.0
HCP96A,1514708998545,10.0
HCP96A,1514712597705,9.0
HCP96A,1514716203760,10.0
HCP96A,1514719803288,10.0
HCP96A,1514723398367,10.0
HCP96A,1514727004745,10.0
HCP96A,1514730599620,10.0
HCP96A,1514734203799,9.0
HCP96A,1514737801319,10.0
HCP96A,1514741397640,9.0
HCP96A,1514744997759,10.0
HCP96A,1514748601193,10.0
HCP96A,1514752204235,10.0
HCP96A,1514755805035,10.0
HCP96A,1514759397102,9.0
HCP96A,1514762998855,10.0
HCP96A,1514766601956,9.0
HCP96A,1514770198669,10.0
HCP96A,1514773804688,10.0
HCP96A,1514777401066,10.0
HCP96A,1514780998983,9.0
HCP96A,1514784597894,10.0
HCP96A,1514788197878,9.0
HCP96A,1514791802172,9.0
HCP96A,1514795400383,9.0
HCP96A,1514799004355,9.0
HCP96A,1514802599602,10.0
HCP96A,1514806197803,10.0
HCP96A,1514809799464,10.0
HCP96A,1514813405107,10.0
HCP96A,1514816996506,9.0
HCP96A,1514820598262,10.0
HCP96A,1514824204783,9.0
HCP96A,1514827798021,10.0
HCP96A,1514831401796,9.0
HCP96A,1514834996880,9.0
HCP96A,1514838600277,9.0
HCP96A,1514842199453,9.0
HCP96A,1514845802361,10.0
HCP96A,1514849403450,9.0
HCP96A,1514852997563,9.0
HCP96A,1514856603390,9.0
HCP96A,1514860201571,10.0
HCP96A,1514863805834,10.0
HCP96A,1514867398548,9.0
HCP96A,1514870998175,10.0
HCP96A,1514874604577,10.0
HCP96A,1514878202664,10.0
HCP96A,1514881797544,10.0
HCP96A,1514885396472,10.0
HCP96A,1514889001679,9.0
HCP96A,1514892596462,9.0
HCP96A,1514896201805,10.0
HCP96A,1514899801347,9.0
HCP96A,1514903405472,10.0
HCP96A,1514907001413,10.0
HCP96A,1514910601597,9.0
HCP96A,1514914198125,9.0
HCP96A,1514917800790,9.0
HCP96A,1514921404988,10.0
HCP96A,1514924998549,10.0
HCP96A,1514928604356,10.0
HCP96A,1514932199990,9.0
HCP96A,1514935798914,9.0
HCP96A,1514939402674,9.0
HCP96A,1514943003976,10.0
HCP96A,1514946600919,9.0
HCP96A,1514950205591,10.0
HCP96A,1514953797475,9.0
HCP96A,1514957403243,10.0
HCP96A,1514960999345,9.0
HCP96A,1514964596177,9.0
HCP96A,1514968198332,10.0
HCP96A,1514971805523,9.0
HCP96A,1514975402575,10.0
HCP96A,1514978996931,10.0
HCP96A,1514982599598,10.0
HCP96A,1514986200181,9.0
HCP96A,1514989797166,10.0
HCP96A,1514993404966,9.0
HCP96A,1514997004081,10.0
HCP96A,1515000602953,9.0
HCP96A,1515004203966,9.0
HCP96A,1515007803586,10.0
HCP96A,1515011401052,10.0
HCP96A,1515014996122,10.0
HCP96A,1515018600046,9.0
HCP96A,1515022196754,10.0
HCP96A,1515025805577,10.0
HCP96A,1515029404373,10.0
HCP96A,1515033005378,10.0
HCP96A,1515036602949,10.0
HCP96A,1515040199828,9.0
HCP96A,1515043804198,10.0
HCP96A,1515047397054,10.0
HCP96A,1515051003353,10.0
HCP96A,1515054602026,10.0
HCP96A,1515058198144,9.0
HCP96A,1515061803241,10.0
HCP96A,1515065397664,10.0
HCP96A,1515068996971,10.0
HCP96A,1515072600836,10.0
HCP96A,1515076204796,10.0
HCP96A,1515079805292,9.0
HCP96A,1515083404218,10.0
HCP96A,1515087004166,9.0
HCP96A,1515090598594,10.0
HCP96A,1515094203252,10.0
HCP96A,1515097802873,10.0
HCP96A,1515101397533,10.0
HCP96A,1515104996167,10.0
HCP96A,1515108601711,10.0
HCP96A,1515112200304,9.0
HCP96A,1515115796129,10.0
HCP96A,1515119404635,9.0
HCP96A,1515122997318,10.0
HCP96A,1515126599924,9.0
HCP96A,1515130199836,10.0
HCP96A,1515133796591,10.0
HCP96A,1515137404004,10.0
HCP96A,1515141001714,9.0
HCP96A,1515144596059,10.0
HCP96A,1515148201412,10.0
HCP96A,1515151800038,10.0
HCP96A,1515155405059,9.0
HCP96A,1515158997707,10.0
HCP96A,1515162598672,10.0
HCP96A,1515166200684,9.0
HCP96A,1515169804295,9.0
HCP96A,1515173404191,9.0
HCP96A,1515177002522,10.0
HCP96A,1515180596856,10.0
HCP96A,1515184204220,10.0
HCP96A,1515187798358,9.0
HCP96A,1515191404538,10.0
HCP96A,1515195002140,10.0
HCP96A,1515198598069,10.0
HCP96A,1515202204343,9.0
HCP96A,1515205799244,10.0
HCP96A,1515209398558,10.0
HCP96A,1515213003269,10.0
HCP96A,1515216600007,9.0
HCP96A,1515220201307,9.0
HCP96A,1515223799013,10.0
HCP96A,1515227404019,10.0
HCP96A,1515231004382,9.0
HCP96A,1515234603944,9.0
HCP96A,1515238197818,9.0
HCP96A,1515241796502,10.0
HCP96A,1515245404311,9.0
HCP96A,1515249002546,9.0
HCP96A,1515252598361,10.0
HCP96A,1515256200680,10.0
HCP96A,1515259803775,10.0
HCP96A,1515263404845,9.0
HCP96A,1515266997343,9.0
HCP96A,1515270597092,9.0
HCP96A,1515274199395,9.0
HCP96A,1515277805822,9.0
HCP96A,1515281403164,9.0
HCP96A,1515285005225,10.0
HCP96A,1515288597747,9.0
HCP96A,1515292199354,9.0
HCP96A,1515295802400,9.0
HCP96A,1515299397302,10.0
HCP96A,1515303003971,10.0
HCP96A,1515306601836,10.0
HCP96A,1515310196671,9.0
HCP96A,1515313801645,10.0
HCP96A,1515317398230,10.0
HCP96A,1515321001485,9.0
HCP96A,1515324605631,9.0
HCP96A,1515328197059,9.0
HCP96A,1515331805507,9.0
HCP96A,1515335403435,10.0
HCP96A,1515338998742,9.0
HCP96A,1515342602908,9.0
HCP96A,1515346204690,10.0
HCP96A,1515349800900,9.0
HCP96A,1515353400398,10.0
HCP96A,1515357005137,10.0
HCP96A,1515360598141,9.0
HCP96A,1515364203689,9.0
HCP96A,1515367803283,9.0
HCP96A,1515371397483,10.0
HCP96A,1515374999809,9.0
HCP96A,1515378599854,9.0
HCP96A,1515382201697,9.0
HCP96A,1515385801750,9.0
HCP96A,1515389396316,9.0
HCP96A,1515393004918,9.0
HCP96A,1515396601847,9.0
HCP96A,1515400200976,10.0
HCP96A,1515403800094,9.0
HCP96A,1515407396313,9.0
HCP96A,1515411004329,9.0
HCP96A,1515414605657,9.0
HCP96A,1515418201418,10.0
HCP96A,1515421798736,9.0
HCP96A,1515425401639,10.0
HCP96A,1515429001427,10.0
HCP96A,1515432605619,10.0
HCP96A,1515436203509,9.0
HCP96A,1515439805688,10.0
HCP96A,1515443400993,10.0
HCP96A,1515447001217,10.0
HCP96A,1515450596357,9.0
HCP96A,1515454200452,10.0
HCP96A,1515457804346,9.0
HCP96A,1515461404460,10.0
HCP96A,1515465004815,9.0
HCP96A,1515468598195,9.0
HCP96A,1515472201588,9.0
HCP96A,1515475799213,9.0
HCP96A,1515479401876,10.0
HCP96A,1515483002832,9.0
HCP96A,1515486599899,10.0
HCP96A,1515490205009,10.0
HCP96A,1515493803462,9.0
HCP96A,1515497399722,10.0
HCP96A,1515501003337,9.0
HCP96A,1515504598327,9.0
HCP96A,1515508204170,9.0
HCP96A,1515511799375,10.0
HCP96A,1515515399884,9.0
HCP96A,1515519001807,10.0
HCP96A,1515522596856,10.0
HCP96A,1515526201601,10.0
HCP96A,1515529800549,10.0
HCP96A,1515533405179,10.0
HCP96A,1515536998328,10.0
HCP96A,1515540604179,10.0
HCP96A,1515544198854,10.0
HCP96A,1515547803535,9.0
HCP96A,1515551400356,9.0
HCP96A,1515555001530,9.0
HCP96A,1515558601505,10.0
