id,time,vol,ph,solids,hardness,oil,bod
HCP106B,1514658600185,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514662201262,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514665798684,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514669404209,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514673005765,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514676603866,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514680200153,0.0,6.0,44.9,17.3,6.0,15.3
HCP106B,1514683803296,0.0,6.3,44.3,18.6,9.8,15.3
HCP106B,1514687396620,0.0,5.9,44.4,22.3,7.7,14.5
HCP106B,1514690996227,0.0,6.2,41.2,22.7,4.9,16.5
HCP106B,1514694600490,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514698197056,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514701803306,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514705404627,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514709004366,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514712600776,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514716196005,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514719800366,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514723398045,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514727005593,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514730600632,0.0,6.0,36.3,16.7,9.7,15.8
HCP106B,1514734202419,0.0,6.4,41.0,12.3,9.3,20.7
HCP106B,1514737796490,0.0,6.3,40.6,13.2,5.6,16.5
HCP106B,1514741398446,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514744997101,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514748598104,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514752204882,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514755805452,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514759402308,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514762997202,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514766602986,0.0,6.2,49.5,19.3,5.1,11.8
HCP106B,1514770198418,0.0,5.8,46.3,16.3,6.1,9.2
HCP106B,1514773798121,0.0,6.1,48.2,18.3,3.0,6.3
HCP106B,1514777405050,0.0,5.8,51.8,21.3,3.0,10.6
HCP106B,1514780999908,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514784602906,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514788204353,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514791798984,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514795398874,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514799004709,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514802602637,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514806197084,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514809799472,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514813403395,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514816997829,0.0,6.2,54.7,15.3,4.1,2.0
HCP106B,1514820602287,0.0,6.1,58.9,17.7,3.0,2.0
HCP106B,1514824196246,0.0,5.8,60.6,16.3,3.0,3.6
HCP106B,1514827804680,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514831397613,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514835004086,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514838603699,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514842203543,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514845804691,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514849401743,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514852997803,0.0,6.3,63.0,5.2,5.4,12.7
HCP106B,1514856600090,0.0,6.5,59.4,5.0,9.0,13.4
HCP106B,1514860196767,0.0,6.4,59.2,5.4,6.5,16.8
HCP106B,1514863799681,0.0,6.0,60.9,6.9,9.3,17.6
HCP106B,1514867405546,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514870998631,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514874596530,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514878201824,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514881800326,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514885398909,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514889004006,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514892596582,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514896198160,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514899799093,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514903399716,0.0,6.7,59.7,20.4,7.5,24.0
HCP106B,1514907002154,0.0,6.9,57.8,20.7,7.8,24.0
HCP106B,1514910605411,0.0,6.6,61.0,16.9,6.4,24.0
HCP106B,1514914205761,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514917805368,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514921405069,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514925004595,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514928601327,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514932201982,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514935800519,0.0,0.0,0.0,0.0,0.0,0.0
HCP106B,1514939398671,0.0,7.2,60.9,27.9,12.9,5.2
HCP106B,1514943002086,0.0,7.4,60.2,25.0,11.3,2.0
HCP106B,1514946602248,0.0,7.6,60.7,28.1,13.0,4.0
HCP106B,1514950203438,0.0,7.2,59.9,29.8,13.0,6.1
HCP106B,1514953803374,0.0,0.0,0.0,0.0,0.0,0.0
