id,time,vol,ph,solids,hardness,oil,bod
ULB63B,1514658604384,24644.0,6.0,29.0,101.0,8.0,4.0
ULB63B,1514662196766,24732.0,5.8,28.5,102.7,10.5,5.5
ULB63B,1514665797478,24742.0,5.8,30.7,103.8,13.5,5.3
ULB63B,1514669400154,24815.0,5.8,32.3,101.6,16.0,1.1
ULB63B,1514672999129,24888.0,6.1,29.7,105.2,16.0,4.9
ULB63B,1514676601026,24853.0,5.9,31.6,107.1,11.4,9.5
ULB63B,1514680204191,24920.0,6.3,35.8,103.5,10.6,9.1
ULB63B,1514683800116,24902.0,6.8,36.2,99.1,9.8,13.0
ULB63B,1514687404791,24929.0,6.4,32.8,95.8,5.4,9.5
ULB63B,1514691004295,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514694600365,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514698201289,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514701803042,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514705395846,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514708996664,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514712598899,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514716198106,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514719801322,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514723395081,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514727001695,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514730604290,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514734202544,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514737795868,0.0,0.0,0.0,0.0,0.0,0.0
ULB63B,1514741395659,25031.0,6.6,41.8,98.8,10.2,2.3
ULB63B,1514744995679,25046.0,6.2,43.2,102.1,11.9,0.2
ULB63B,1514748597241,25018.0,6.0,42.3,104.3,16.0,0.2
ULB63B,1514752204879,25067.0,6.4,44.7,100.8,11.2,4.7
